time(days),inlet flow,outlet flow,inlet pressure,outlet pressure,Inlet Temp,Outlet Temp
0,62266.05078,62254.75781,92.30233002,91.73195648,28.81126976,28.61053085
0.003492917,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.006965139,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.010437361,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.013909583,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.017381806,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.020854028,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.024326252,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.027798474,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.031270694,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.034742918,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.038215142,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.041687362,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.045159586,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.048631806,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.05210403,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.05557625,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.059048474,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.062520698,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.065992914,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.069465138,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.072937362,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.076409586,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.07988181,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.083354026,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.08682625,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.090298474,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.093770698,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.097242914,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.100715138,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.104187362,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.107659586,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.11113181,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.114604026,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.118076272,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.121548496,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.125020713,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.128492936,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
0.13196516,62265.77734,62254.48438,92.30233002,91.73195648,28.81126976,28.61053085
